route_id,agency_id,route_short_name,route_long_name,route_desc,route_type,route_url,route_color,route_text_color
102576,1,"C Line","","Valley St/Fairview Av N - SW Barton St/26 Av SW",3,https://kingcounty.gov/en/dept/metro/routes-and-service/schedules-and-maps/c-line.html,,
102581,1,"D Line","","Blue Ridge/Crown Hill - Ballard - Downtown Seattle",3,https://kingcounty.gov/en/dept/metro/routes-and-service/schedules-and-maps/d-line.html,,
102593,1,"906","","Fairwood - Southcenter - Tukwila Sounder Station",3,https://kingcounty.gov/en/dept/metro/routes-and-service/schedules-and-maps/906.html,,
102615,1,"E Line","","Aurora Village Transit Center - Downtown Seattle",3,https://kingcounty.gov/en/dept/metro/routes-and-service/schedules-and-maps/e-line.html,,
102619,1,"F Line","","Burien TC - Tukwila Intl Blvd Sta - Renton Landing",3,https://kingcounty.gov/en/dept/metro/routes-and-service/schedules-and-maps/f-line.html,,
102628,1,"895","","Ardmore Park - Lake WA HS",3,https://kingcounty.gov/en/dept/metro/routes-and-service/schedules-and-maps/895.html,,
102634,1,"630","","So Mercer Island - First Hill - Downtown Seattle",3,https://kingcounty.gov/en/dept/metro/routes-and-service/schedules-and-maps/630.html,,
102636,1,"631","","Gregory Heights - Burien Transit Center",3,https://kingcounty.gov/en/dept/metro/routes-and-service/schedules-and-maps/631.html,,
102638,23,"First Hill Streetcar","","Streetcar: Pioneer Square - Capitol Hill",0,https://www.seattle.gov/transportation/getting-around/transit/streetcar/first-hill-line,,
102647,1,"635","","Des Moines Marina District - Angle Lake Station",3,https://kingcounty.gov/en/dept/metro/routes-and-service/schedules-and-maps/635.html,,
102652,1,"204","","S Mercer Island-Island Crest Way-Mercer Island P&R",3,https://kingcounty.gov/en/dept/metro/routes-and-service/schedules-and-maps/204.html,,
102653,1,"224","","Duvall - Redmond Transit Center",3,https://kingcounty.gov/en/dept/metro/routes-and-service/schedules-and-maps/224.html,,
102698,1,"Duvall-Monroe Shuttle","","Duvall - Monroe Shuttle",3,https://kingcounty.gov/en/dept/metro/routes-and-service/schedules-and-maps/627.html,,
102699,1,"SVT","","No. Bend-Snoqualmie-Fall City-Carnation-Duvall",3,https://kingcounty.gov/en/dept/metro/routes-and-service/schedules-and-maps/629.html,,
102701,1,"225","","Kenmore - Totem Lake TC - Overlake",3,https://kingcounty.gov/en/dept/metro/routes-and-service/schedules-and-maps/225.html,,
102702,1,"239","","UW/Cascadia Coll - Totem Lake TC - Kirkland TC",3,https://kingcounty.gov/en/dept/metro/routes-and-service/schedules-and-maps/239.html,,
102703,1,"231","","Woodinville - Brickyard - Juanita - Kirkland TC",3,https://kingcounty.gov/en/dept/metro/routes-and-service/schedules-and-maps/231.html,,
102704,1,"250","","Avondale -  Redmond TC - Kirkland TC - Bellevue TC",3,https://kingcounty.gov/en/dept/metro/routes-and-service/schedules-and-maps/250.html,,
102705,1,"230","","North Creek - Bothell - Juanita - Kirkland TC",3,https://kingcounty.gov/en/dept/metro/routes-and-service/schedules-and-maps/230.html,,
102715,1,"162","","Lake Meridean P&R - Downtown Seattle",3,https://kingcounty.gov/en/dept/metro/routes-and-service/schedules-and-maps/162.html,,
102717,1,"165","","Green River College - Kent - Des Moines - Burien",3,https://kingcounty.gov/en/dept/metro/routes-and-service/schedules-and-maps/165.html,,
102718,1,"184","","Auburn Station - White River Junction",3,https://kingcounty.gov/en/dept/metro/routes-and-service/schedules-and-maps/184.html,,
102719,1,"161","","Burien - Kent Station",3,https://kingcounty.gov/en/dept/metro/routes-and-service/schedules-and-maps/161.html,,
102720,1,"160","","Renton TC - Kent Station - Auburn Station",3,https://kingcounty.gov/en/dept/metro/routes-and-service/schedules-and-maps/160.html,,
102729,1,"322","","Kenmore P&R - 12 Av/E Terrace St",3,https://kingcounty.gov/en/dept/metro/routes-and-service/schedules-and-maps/322.html,,
102732,1,"79","","Greenlake - University District",3,https://kingcounty.gov/en/dept/metro/routes-and-service/schedules-and-maps/079.html,,
102734,40,"566","","Auburn - Redmond",3,https://www.soundtransit.org/566,2B376E,FFFFFF
102736,1,"H Line","","Burien TC - Westwood Village - Downtown Seattle",3,https://kingcounty.gov/en/dept/metro/routes-and-service/schedules-and-maps/h-line.html,,
102744,1,"365","","Northgate Station - Shoreline Link Stations",3,https://kingcounty.gov/en/dept/metro/routes-and-service/schedules-and-maps/365.html,,
102745,1,"G Line","","Madison Valley - Downtown Seattle",3,https://kingcounty.gov/en/dept/metro/routes-and-service/schedules-and-maps/g-line.html,,
102746,1,"333","","Shoreline South/148 - Mountlake Terrace Station",3,https://kingcounty.gov/en/dept/metro/routes-and-service/schedules-and-maps/333.html,,
102747,1,"61","","Lake City - Northgate - Greenwood",3,https://kingcounty.gov/en/dept/metro/routes-and-service/schedules-and-maps/061.html,,
